, r, g, b
0, 0.13443, 0.02907, 0.00806
1, 0.54260, 0.16050, 0.08333
2, 0.08125, 0.08125, 0.09874
3, 0.06480, 0.06038, 0.00858
4, 0.17629, 0.11577, 0.15000
5, 0.13843, 0.24228, 0.17789
6, 0.70656, 0.12149, 0.00640
7, 0.04446, 0.03625, 0.12084
8, 0.58246, 0.05247, 0.02366
9, 0.05127, 0.01298, 0.02519
10, 0.26123, 0.28209, 0.01080
11, 0.61553, 0.21133, 0.00235
12, 0.01389, 0.01112, 0.07471
13, 0.05532, 0.14559, 0.02789
14, 0.47788, 0.02099, 0.00430
15, 0.59391, 0.32085, 0.00385
16, 0.51039, 0.04856, 0.08074
17, 0.00803, 0.08867, 0.15294
18, 0.67777, 0.43828, 0.26533
19, 0.46778, 0.30499, 0.20508
20, 0.30054, 0.20508, 0.13014
21, 0.13633, 0.09030, 0.05491
22, 0.04267, 0.02651, 0.01786
23, 0.00885, 0.00628, 0.00458
